Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES,AMG,AFL
2010-01-04,65.79897308349611,18.449031829833984,,8.739999771118164,34.14825439453125,10.193224906921387,37.09000015258789,9.699999809265137,39.4503288269043,11.117838859558104,67.80599212646484,15.371268272399902
2010-01-05,65.38683319091797,18.299983978271484,,8.529999732971191,34.35930633544922,10.21126651763916,37.70000076293945,9.710000038146973,39.21585083007813,11.00397777557373,68.34744262695311,15.81718921661377
2010-01-06,66.31413269042969,18.401611328125,,8.399999618530272,34.72457504272461,10.157143592834473,37.61999893188477,9.56999969482422,39.55780029296875,10.890114784240724,69.68622589111328,15.956136703491213
2010-01-07,66.3616943359375,18.554052352905273,,8.399999618530272,34.692100524902344,9.91358757019043,36.88999938964844,9.470000267028807,39.54802703857422,10.8982515335083,69.3712158203125,16.12739372253418
2010-01-08,66.82929992675781,18.648900985717773,,8.229999542236326,34.55411529541016,9.832404136657717,36.68999862670898,9.43000030517578,39.70433807373047,11.207303047180176,68.73134613037111,15.965824127197266
2010-01-11,66.559814453125,18.743757247924805,,8.079999923706055,34.521652221679695,9.823382377624512,36.209999084472656,9.140000343322754,39.31354522705078,11.280502319335938,69.19403076171875,16.385896682739258
2010-01-12,66.61530303955078,18.689558029174805,,7.889999866485597,34.302490234375,9.71513557434082,35.65999984741211,8.649999618530272,38.62965774536133,11.150372505187988,68.68212890625,16.301883697509766
2010-01-13,66.40129852294922,19.017587661743164,,7.960000038146973,34.692100524902344,9.841424942016602,36.27999877929688,9.149999618530273,39.16699600219727,11.451294898986815,69.42042541503906,16.47960090637207
2010-01-14,66.17938995361328,19.038227081298828,,8.25,35.00054931640625,9.796320915222168,35.900001525878906,9.0,38.64920043945313,11.459427833557127,68.14070892333984,16.696100234985348
2010-01-15,66.07633209228516,19.08637809753418,,8.050000190734862,34.74892044067383,9.823382377624512,35.86999893188477,8.84000015258789,38.404972076416016,11.418760299682615,66.70348358154297,16.515146255493164
2010-01-19,67.46334838867189,19.330589294433594,,8.350000381469728,35.51192092895508,9.778279304504396,36.95000076293945,9.010000228881836,38.5905876159668,11.491958618164062,67.23506164550781,16.835050582885742
2010-01-20,67.14632415771484,19.344350814819336,,8.479999542236326,35.31710433959961,9.76023769378662,36.4900016784668,8.869999885559082,38.25841522216797,11.150372505187988,66.08329772949219,16.528072357177734
2010-01-21,65.54532623291016,19.110450744628906,,8.510000228881836,34.9761962890625,9.552767753601074,35.81999969482422,8.989999771118164,38.3267936706543,10.873848915100098,64.92169189453125,16.308347702026367
2010-01-22,64.57838439941406,18.74929428100586,,8.449999809265138,34.237548828125,9.354314804077148,34.380001068115234,7.880000114440918,38.82505416870117,10.589194297790527,64.82324981689453,15.865655899047852
2010-01-25,64.8558349609375,18.814653396606445,,8.25,33.99404525756836,9.128798484802246,34.15999984741211,8.069999694824219,39.56755828857422,10.90638256072998,64.98075866699219,16.21463966369629
2010-01-26,64.697265625,18.738977432250977,,8.149999618530272,33.95345687866211,9.029573440551758,33.939998626708984,8.090000152587889,39.61641311645508,10.62985897064209,62.24411392211914,16.065998077392578
2010-01-27,65.22830200195311,18.539480209350586,,8.270000457763674,34.03462600708008,9.345293045043944,33.139999389648445,8.189999580383299,39.65550231933594,10.475327491760254,62.903663635253906,16.095083236694336
2010-01-28,63.99984359741211,18.556682586669922,,8.180000305175781,33.51512908935547,9.246068000793457,32.889999389648445,7.880000114440918,38.8543815612793,10.312671661376953,60.81671905517578,15.89473819732666
2010-01-29,63.79377365112305,18.209278106689453,,7.920000076293945,33.27162551879883,9.164881706237793,32.299999237060554,7.460000038146973,38.54173278808594,10.272003173828123,59.62558364868164,15.649162292480467
2010-02-01,63.75411605834961,18.34686279296875,,7.929999828338622,33.43396759033203,9.092717170715332,32.47999954223633,7.980000019073486,39.55780029296875,10.483466148376463,63.12023544311523,15.891507148742676
2010-02-02,63.7462043762207,18.725221633911133,,8.029999732971191,33.78300094604492,9.246068000793457,32.97999954223633,7.9099998474121085,40.24168014526367,10.670523643493652,64.44918060302734,16.059532165527347
2010-02-03,64.59425354003906,18.79744911193848,,8.010000228881836,33.76676559448242,9.43549919128418,32.97999954223633,7.809999942779541,40.24168014526367,10.491597175598145,64.82324981689453,16.460214614868164
2010-02-04,62.77927780151367,18.511966705322266,,8.270000457763674,32.96317672729492,9.164881706237793,32.240001678466804,7.190000057220459,39.9876594543457,9.629496574401855,62.352394104003906,15.607154846191404
2010-02-05,62.24826049804688,18.563560485839844,,8.430000305175781,32.906356811523445,9.209983825683594,32.77000045776367,7.3499999046325675,39.78250503540039,9.540034294128418,62.71662521362305,15.39712142944336
2010-02-08,61.44776153564453,18.35030174255371,,8.859999656677246,32.60603713989258,9.164881706237793,32.049999237060554,7.420000076293945,39.87042617797852,9.556300163269043,61.5254898071289,14.847801208496096
2010-02-09,62.39089965820313,18.35030174255371,,9.34000015258789,32.662853240966804,9.065656661987305,32.310001373291016,7.539999961853027,40.61293411254883,9.86535358428955,61.47627258300781,15.206476211547852
2010-02-10,62.3116455078125,18.319345474243164,,9.520000457763672,32.48427963256836,9.110758781433104,32.759998321533196,7.639999866485597,41.35543441772461,9.710826873779297,66.46720886230469,15.222634315490724
2010-02-11,63.61938095092773,18.415658950805664,,9.59000015258789,32.687206268310554,9.98575210571289,32.639999389648445,7.8400001525878915,41.57037353515625,9.718961715698242,66.80192565917969,15.487515449523926
